Complexity,Loss,Equation
1,1.0064194,"0.3760702"
3,0.60093385,"-0.00020070016 / VDD_1V2_I_idt"
5,0.050185245,"(-0.0006559592 / VDD_1V2_I_idt) + -1.8343569"
7,0.049358796,"(-0.00063374924 / VDD_1V2_I_idt) + (-1.7421044 - AVSS_I)"
9,0.048733305,"((VDD_1V2_I * 8.26735) + -0.94193155) + (-0.00047010503 / VDD_1V2_I_idt)"
11,0.048346765,"(-0.238832 - ((5.932602e-5 / VDD_1V2_I_idt) * FUN_DC)) + (VDD_1V2_I * 14.535991)"
