Complexity,Loss,Equation
1,4.7372617e-9,"8.2377686e-5"
3,4.5897424e-9,"meta_vsup_max * 1.6681555e-5"
5,4.36464e-9,"-6.592594e-5 / (meta_corner + -0.82650536)"
7,2.6190674e-9,"((FUN_DC * 2.9791503e-5) / MOST_POS_idt) - 0.0009558587"
9,2.5884497e-9,"((VPWR / MOST_POS_idt) * 2.990246e-5) - (0.0009634142 - PBKG_I_idt)"
11,2.5359614e-9,"((MOST_POS_idt * (-0.032458402 / FUN_DC)) + (VDD_1V2_EXT_I / 0.02159179)) - -0.0010091518"
