Complexity,Loss,Equation
1,1.1045787e-9,"6.7172405e-6"
3,8.925521e-10,"VDD_1V2_I * -0.00046537397"
5,8.467339e-10,"VDD_1V2_I * (-0.0002643673 - MOST_POS_I)"
7,8.2150076e-10,"VDD_1V2_I * ((VDD_1V2_I * 0.0025827363) - MOST_POS_I)"
9,8.1071283e-10,"((VDD_1V2_I * 0.0041962177) - MOST_POS_I) * (VDD_1V2_I * 0.71830255)"
11,8.05689e-10,"VDD_1V2_I * ((VDD_1V2_I * (meta_vsup_max * 0.0006238185)) - (MOST_POS_I * 0.6827206))"
