Complexity,Loss,Equation
1,8.017398e-9,"5.6074492e-5"
3,7.838118e-9,"0.0007683681 * MOST_POS_idt"
5,7.48802e-9,"(PBKG_I_idt / VPWR_idt) - -5.118962e-5"
7,7.072628e-9,"(PBKG_I_idt * (2.9680014 / VPWR_idt)) - -4.1574604e-5"
9,6.9922663e-9,"(((PBKG_I_idt + -2.4188313e-7) * 2.992338) / VPWR_idt) - -5.763888e-5"
11,6.742716e-9,"((VDD_1V2_I_idt * ISO_I) - -4.071167e-5) + ((PBKG_I_idt / VPWR_idt) * 4.122429)"
12,6.411307e-9,"((-5.7626266e-7 / meta_corner) / -0.20209794) - (log(meta_vsup_max) * -6.6513e-5)"
