Complexity,Loss,Equation
1,2.3269529e-11,"2.1144187e-6"
3,2.3179323e-11,"meta_vsup_max * 4.261168e-7"
5,2.2519021e-11,"(-4.5346445e-5 / meta_temp) + 1.368346e-6"
7,2.2457751e-11,"((-4.47567e-5 / meta_temp) + 1.3861838e-6) - floop_out_I"
9,2.2453739e-11,"((-4.4448883e-5 / (meta_temp - 1.2532706)) + 1.4267355e-6) - floop_out_I"
10,2.1412825e-11,"((0.038485628 ^ meta_vsup_max) / -0.12989359) - -3.3468095e-6"
12,2.1321316e-11,"(((0.038485628 ^ meta_vsup_max) / -0.12989359) - floop_out_I) - -3.3468095e-6"
