Complexity,Loss,Equation
1,1.1557323e-11,"2.0706293e-6"
3,1.0987815e-11,"1.1343164e-5 / FUN_DC"
5,3.741032e-12,"(MOST_POS * -1.071425e-5) - -5.7425303e-5"
7,2.8481896e-12,"(6.166199e-7 - (MOST_POS_I_idt * MOST_POS)) * 11.289398"
9,2.70727e-12,"(3.3627873e-6 - ((MOST_POS * MOST_POS_I_idt) * V_SUPPLY)) * 1.95073"
11,1.7522414e-12,"2.2512965 * (((6.2314035e-7 - (MOST_POS * MOST_POS_I_idt)) * V_SUPPLY) - PBKG_I_idt)"
