Complexity,Loss,Equation
1,0.10762632,"0.85461104"
3,0.10337991,"VDD_1V2_I + 0.99312586"
5,0.062646635,"(ISO_I * -286.98157) + 0.8796061"
7,0.058878824,"(VDD_1V2_I + (ISO_I * -285.4305)) + 1.0179936"
9,0.055877265,"((V_SUPPLY_idt * -7.234853) - (ISO_I * 295.02197)) - -1.5730838"
11,0.055037335,"((V_SUPPLY_idt * -7.1257687) - ((AVSS_I_idt + ISO_I) * 295.02637)) - -1.563531"
