Complexity,Loss,Equation
1,1.1740677e-11,"1.9485117e-6"
3,1.1031679e-11,"1.498785e-7 / VPWR_idt"
5,2.3839496e-12,"6.424817e-5 - (1.2009719e-5 * FUN_DC)"
7,2.0418767e-12,"6.5083346e-5 - ((MOST_POS * 1.215817e-5) + PBKG_I_idt)"
8,1.8108337e-12,"(exp(FUN_DC) * -6.453324e-8) - -1.3888155e-5"
9,1.7821059e-12,"((1.3019222e-5 - (meta_vsup_max * 2.4289789e-6)) * meta_vsup_max) - PBKG_I_idt"
11,1.7268546e-12,"((1.3019461e-5 - (V_SUPPLY * 2.427411e-6)) * meta_vsup_max) - (PBKG_I_idt / 0.5799539)"
12,1.5537309e-12,"((-6.453324e-8 * exp(FUN_DC)) - (-1.3888155e-5 - dPBKG_I_dt)) - PBKG_I_idt"
