Complexity,Loss,Equation
1,2.1499573e-5,"0.0140215745"
3,2.0746109e-5,"0.013855903 - VDD_1V2_I_idt"
5,1.0149723e-5,"sqrt(VDD_1V2_I * -0.012092452)"
7,4.9359187e-6,"sqrt((VDD_1V2_I * -0.014013443) - AVSS_I_idt)"
9,4.891189e-6,"sqrt(((VDD_1V2_I * -0.013411579) - AVSS_I_idt) * 1.0448765)"
11,4.8533307e-6,"(sqrt((VDD_1V2_I * -0.013411579) - AVSS_I_idt) + ISO_I_idt) * 1.0211003"
12,4.845563e-6,"sqrt((VDD_1V2_I * -0.013411579) - AVSS_I_idt) * exp(ISO_I)"
